"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 18:22:14 EDT 2024","Thu Jun 20 18:22:19 EDT 2024","4934","firefox","upload.spec.ts","Upload","","","Open Cart page and upload attachment.png",""
"passed","Thu Jun 20 18:22:01 EDT 2024","Thu Jun 20 18:22:02 EDT 2024","991","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Jun 20 18:22:01 EDT 2024","Thu Jun 20 18:22:03 EDT 2024","1825","chromium","home.spec.ts","Home","","","Open Home page and verify title",""
"passed","Thu Jun 20 18:22:11 EDT 2024","Thu Jun 20 18:22:11 EDT 2024","600","firefox","example.spec.ts","","","","get started link",""
"passed","Thu Jun 20 18:22:21 EDT 2024","Thu Jun 20 18:22:22 EDT 2024","1430","webkit","home.spec.ts","Home","","","Click get started button using CSS Selector",""
"passed","Thu Jun 20 18:22:24 EDT 2024","Thu Jun 20 18:22:28 EDT 2024","4386","webkit","upload.spec.ts","Upload","","","Open Cart page and upload output-onlinepngtools.png",""
"passed","Thu Jun 20 18:22:02 EDT 2024","Thu Jun 20 18:22:03 EDT 2024","1743","chromium","home.spec.ts","Home","","","Verify heading text is visible using text Selector",""
"passed","Thu Jun 20 18:22:07 EDT 2024","Thu Jun 20 18:22:11 EDT 2024","4432","firefox","account.spec.ts","Account","","","Access Download",""
"passed","Thu Jun 20 18:22:23 EDT 2024","Thu Jun 20 18:22:25 EDT 2024","1451","webkit","home.spec.ts","Home","","","Verify text of all nav links",""
"passed","Thu Jun 20 18:22:17 EDT 2024","Thu Jun 20 18:22:20 EDT 2024","3606","webkit","account.spec.ts","Account","","","Access Order",""
"passed","Thu Jun 20 18:22:07 EDT 2024","Thu Jun 20 18:22:10 EDT 2024","3786","firefox","account.spec.ts","Account Page","","","Verify login and register button",""
"passed","Thu Jun 20 18:21:57 EDT 2024","Thu Jun 20 18:22:01 EDT 2024","3995","chromium","blog.spec.ts","Blog","","","Open Blog page count and verify the length of each list item",""
"passed","Thu Jun 20 18:37:21 EDT 2024","Thu Jun 20 18:37:24 EDT 2024","2909","chromium","contact.spec.ts","Contact","","","Open Contact page, fill in the form and assert the success message",""
